Node_Label,ID_,Location,Parent_Foreign_Id,Parent_Foreign_Source,IP_Management,MgmtType_,svc_Forced,cat_,Asset_category,Asset_region,Asset_serialNumber,Asset_assetNumber,Asset_latitude,Asset_longitude,Asset_thresholdCategory,Asset_notifyCategory,Asset_pollerCategory,Asset_displayCategory,Asset_managedObjectType,Asset_managedObjectInstance,Asset_circuitId,Asset_description
Building_A_Rack_A-A_ASR1002-AA-01,Building_A_Rack_A-A_ASR1002-AA-01,IPv4Root,,,120.10.40.8,N,,,,,,,null,null,,,,,,,,
Building_B_Rack_B-A_ASR1002-BA-01,Building_B_Rack_B-A_ASR1002-BA-01,IPv4Root,,,120.10.40.3,N,,,,,,,null,null,,,,,,,,
Building_B_Rack_B-A_ASR1002-BA-02,Building_B_Rack_B-A_ASR1002-BA-02,IPv4Root,,,120.10.40.2,N,,,,,,,null,null,,,,,,,,
Building_B_Rack_B-B_ASR1002-BB-01,Building_B_Rack_B-B_ASR1002-BB-01,IPv4Root,,,120.10.40.7,P,,,,,,,null,null,,,,,,,,
Panorama_Tower_[RACK_VIEW]_MIA-PWR-RCK-02_ASR9001-MIA01,Panorama_Tower_[RACK_VIEW]_MIA-PWR-RCK-02_ASR9001-MIA01,BGP_Peering,,,190.56.123.1,N,,,,,,,25.767418,-80.18401,,,,,,,,
Aon_Center_CHG-AOC-RCK-01_CHG-AOC-SWT-01,Aon_Center_CHG-AOC-RCK-01_CHG-AOC-SWT-01,IPv4Root,,,120.10.40.1,N,,,,,,,null,null,,,,,,,,
Aon_Center_CHG-AOC-RCK-01_CHG-AOC-SWT-01,Aon_Center_CHG-AOC-RCK-01_CHG-AOC-SWT-01,IPv4Root,,,120.10.40.5,N,,,,,,,null,null,,,,,,,,
Aon_Center_CHG-AOC-RCK-01_CHG-AOC-SWT-01,Aon_Center_CHG-AOC-RCK-01_CHG-AOC-SWT-01,IPv4Root,,,120.10.40.6,N,,,,,,,null,null,,,,,,,,
Willis_Tower_CHG-WTR-RCK-01_CHG-WTR-SWT-01,Willis_Tower_CHG-WTR-RCK-01_CHG-WTR-SWT-01,IPv4Root,,,120.10.40.14,N,,,,,,,null,null,,,,,,,,
Willis_Tower_CHG-WTR-RCK-01_CHG-WTR-SWT-01,Willis_Tower_CHG-WTR-RCK-01_CHG-WTR-SWT-01,IPv4Root,,,120.10.40.11,N,,,,,,,null,null,,,,,,,,
Fort_Widley_Rack1-AngelFM_DB7012,Fort_Widley_Rack1-AngelFM_DB7012,ftwidley,,,192.168.105.101,P,,,,,,,50.854836,-1.067246,,,,,,,,
Fort_Widley_Rack1-AngelFM_DB8008_Silence_Switcher,Fort_Widley_Rack1-AngelFM_DB8008_Silence_Switcher,ftwidley,,,192.168.105.100,P,,,,,,,50.854836,-1.067246,,,,,,,,
Fort_Widley_Rack1-AngelFM_DB9000-RX,Fort_Widley_Rack1-AngelFM_DB9000-RX,ftwidley,,,192.168.105.99,P,,,,,,,50.854836,-1.067246,,,,,,,,
Fort_Widley_Rack1-AngelFM_Intel_Nuc,Fort_Widley_Rack1-AngelFM_Intel_Nuc,ftwidley,,,192.168.105.240,P,,,,,,,50.854836,-1.067246,,,,,,,,
Edatel_MDE-RCK-EDT-001_MDE-SWT-EDT-001,Edatel_MDE-RCK-EDT-001_MDE-SWT-EDT-001,Management_Network,,,192.168.100.2,P,,,,,,,null,null,,,,,,,,
Edatel_MDE-RCK-EDT-001_MDE-SWT-EDT-002,Edatel_MDE-RCK-EDT-001_MDE-SWT-EDT-002,Management_Network,,,192.168.100.5,P,,,,,,,null,null,,,,,,,,
Edatel_MDE-RCK-EDT-001_MDE-SWT-EDT-003,Edatel_MDE-RCK-EDT-001_MDE-SWT-EDT-003,Management_Network,,,192.168.100.9,P,,,,,,,null,null,,,,,,,,
Edatel_MDE-RCK-EDT-001_MDE-SWT-EDT-004,Edatel_MDE-RCK-EDT-001_MDE-SWT-EDT-004,Management_Network,,,192.168.100.7,P,,,,,,,null,null,,,,,,,,
Fort_Widley_Rack1-AngelFM_Minion-01,Fort_Widley_Rack1-AngelFM_Minion-01,ftwidley,,,192.168.105.240,P,,,,,,,50.854836,-1.067246,,,,,,,,
Fort_Widley_Rack1-AngelFM_TX1000-V3,Fort_Widley_Rack1-AngelFM_TX1000-V3,ftwidley,,,192.168.105.98,P,,,,,,,50.854836,-1.067246,,,,,,,,
Fort_Widley_Rack1-AngelFM_Vigor2860_SEC,Fort_Widley_Rack1-AngelFM_Vigor2860_SEC,ftwidley,,,192.168.105.2,N,,,,,,,50.854836,-1.067246,,,,,,,,
Fort_Widley_Rack1-AngelFM_Vigor2860_VIRT,Fort_Widley_Rack1-AngelFM_Vigor2860_VIRT,ftwidley,,,192.168.105.254,N,,,,,,,50.854836,-1.067246,,,,,,,,
Fort_Widley_Rack1-AngelFM_Vigor2927_PRI,Fort_Widley_Rack1-AngelFM_Vigor2927_PRI,ftwidley,,,192.168.105.10,N,,,,,,,50.854836,-1.067246,,,,,,,,
Fort_Widley_Rack1-AngelFM_Win7_Rack_PC,Fort_Widley_Rack1-AngelFM_Win7_Rack_PC,ftwidley,,,192.168.105.200,N,,,,,,,50.854836,-1.067246,,,,,,,,
Fort_Widley_Rack1-AngelFM_cardinal_iMDU,Fort_Widley_Rack1-AngelFM_cardinal_iMDU,ftwidley,,,192.168.105.250,P,,,,,,,50.854836,-1.067246,,,,,,,,
Fort_Widley_Rack1-AngelFM_lan-switch,Fort_Widley_Rack1-AngelFM_lan-switch,ftwidley,,,192.168.105.2,N,,,,,,,50.854836,-1.067246,,,,,,,,
Fort_Widley_Rack1-AngelFM_lan-switch,Fort_Widley_Rack1-AngelFM_lan-switch,ftwidley,,,192.168.105.10,N,,,,,,,50.854836,-1.067246,,,,,,,,
Fort_Widley_Rack1-AngelFM_lan-switch,Fort_Widley_Rack1-AngelFM_lan-switch,ftwidley,,,192.168.105.254,N,,,,,,,50.854836,-1.067246,,,,,,,,
