Node_Label,ID_,Location,Parent_Foreign_Id,Parent_Foreign_Source,IP_Management,MgmtType_,svc_Forced,cat_,Asset_category,Asset_region,Asset_serialNumber,Asset_assetNumber,Asset_latitude,Asset_longitude,Asset_thresholdCategory,Asset_notifyCategory,Asset_pollerCategory,Asset_displayCategory,Asset_managedObjectType,Asset_managedObjectInstance,Asset_circuitId,Asset_description,MetaData_requisition:serviceId,MetaData_requisition:serviceName,MetaData_requisition:customerId,MetaData_requisition:customerName,Asset_comment,Asset_building,Asset_floor,Asset_room,Asset_rack,Asset_rackunitheight,Asset_slot,Asset_port,Asset_region,Asset_division,Asset_department,Asset_address1,Asset_address2,Asset_city,Asset_state,Asset_zip,Asset_country,Asset_modelnumber,Asset_manufacturer,Asset_vendor,Asset_vendorphone,Asset_vendorfax,Asset_userlastmodified,Asset_lastmodifieddate,Asset_dateinstalled,Asset_lease,Asset_leaseexpires,Asset_supportphone,Asset_maintcontract,Asset_maintcontractexpires,Asset_username,Asset_password,Asset_enable,Asset_autoenable,Asset_connection,Asset_operatingsystem,Asset_cpu,Asset_ram,Asset_storagectrl,Asset_hdd1,Asset_hdd2,Asset_hdd3,Asset_hdd4,Asset_hdd5,Asset_hdd6,Asset_numpowersupplies,Asset_inputpower,Asset_additionalhardware,Asset_admin,Asset_snmpcommunity
SOTN001_OLT_0100,SOTN001_OLT_0100,GPON,,,10.20.1.1,P,,,,,,,-1.393999,50.923874,,,,,InventoryObject/ViewableObject/ConfigurationItem/GenericCommunicationsElement/GenericPhysicalElement/OpticalLineTerminal,513dc292-618e-4cf3-aaa6-f01c2b4a5efb,,,,NOT_ASSIGNED,,NOT_ASSIGNED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOTN001_OLT_0101,SOTN001_OLT_0101,GPON,,,10.20.1.2,P,,,,,,,-1.393999,50.923874,,,,,InventoryObject/ViewableObject/ConfigurationItem/GenericCommunicationsElement/GenericPhysicalElement/OpticalLineTerminal,bc902166-716f-4533-a186-dd3d34419dd5,,,,NOT_ASSIGNED,,NOT_ASSIGNED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOTN001_OLT_0102,SOTN001_OLT_0102,GPON,,,10.20.1.3,P,,,,,,,-1.393999,50.923874,,,,,InventoryObject/ViewableObject/ConfigurationItem/GenericCommunicationsElement/GenericPhysicalElement/OpticalLineTerminal,d0824b63-e731-4ee2-ba10-9dc9b54692b1,,,,NOT_ASSIGNED,,NOT_ASSIGNED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_CAB_0003_SPL8_0007,SO18BPK1_CAB_0003_SPL8_0007,Default,SOTN001_OLT_0102,southamptonGPONLargeStatic,254.0.0.1,N,,,,,,,50.924828,-1.3797977,,,,,InventoryObject/ViewableObject/ConfigurationItem/GenericBox/FiberSplitter,1530fba0-5446-418a-b7df-93a2a143f839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_0090_SPL16_0001,SO18BPK1_POLE_0090_SPL16_0001,Default,SO18BPK1_CAB_0003_SPL8_0007,southamptonGPONLargeStatic,254.0.0.1,N,,,,,,,50.923073,-1.3760837,,,,,InventoryObject/ViewableObject/ConfigurationItem/GenericBox/FiberSplitter,69e3a780-0f00-46f8-b853-452ccac7fc09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_0090_SPL16_0002,SO18BPK1_POLE_0090_SPL16_0002,Default,SO18BPK1_CAB_0003_SPL8_0007,southamptonGPONLargeStatic,254.0.0.1,N,,,,,,,50.923073,-1.3760837,,,,,InventoryObject/ViewableObject/ConfigurationItem/GenericBox/FiberSplitter,e66a202d-696f-4924-be44-04be24dfd5e7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_0091_SPL16_0002,SO18BPK1_POLE_0091_SPL16_0002,Default,SO18BPK1_CAB_0003_SPL8_0007,southamptonGPONLargeStatic,254.0.0.1,N,,,,,,,50.932793,-1.3686374,,,,,InventoryObject/ViewableObject/ConfigurationItem/GenericBox/FiberSplitter,740769f9-c3be-41ef-a84e-12b8f9c45750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_0089_SPL16_0001,SO18BPK1_POLE_0089_SPL16_0001,Default,SO18BPK1_CAB_0003_SPL8_0007,southamptonGPONLargeStatic,254.0.0.1,N,,,,,,,50.922283,-1.3757657,,,,,InventoryObject/ViewableObject/ConfigurationItem/GenericBox/FiberSplitter,a2bbbc51-27ae-48a0-a099-b937666f571d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_0089_SPL16_0002,SO18BPK1_POLE_0089_SPL16_0002,Default,SO18BPK1_CAB_0003_SPL8_0007,southamptonGPONLargeStatic,254.0.0.1,N,,,,,,,50.922283,-1.3757657,,,,,InventoryObject/ViewableObject/ConfigurationItem/GenericBox/FiberSplitter,7bc18b86-7c0f-496f-bde4-bd33d774da28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_0092_SPL16_0001,SO18BPK1_POLE_0092_SPL16_0001,Default,SO18BPK1_CAB_0003_SPL8_0007,southamptonGPONLargeStatic,254.0.0.1,N,,,,,,,50.932606,-1.3691522,,,,,InventoryObject/ViewableObject/ConfigurationItem/GenericBox/FiberSplitter,ebe47f1a-11bd-44f4-b06c-a6ee2e414cba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
