Node_Label,ID_,Location,Parent_Foreign_Id,Parent_Foreign_Source,IP_Management,MgmtType_,svc_Forced,cat_,Asset_category,Asset_region,Asset_serialNumber,Asset_assetNumber,Asset_latitude,Asset_longitude,Asset_thresholdCategory,Asset_notifyCategory,Asset_pollerCategory,Asset_displayCategory,Asset_managedObjectType,Asset_managedObjectInstance,Asset_circuitId,Asset_description,MetaData_requisition:serviceId,MetaData_requisition:serviceName,MetaData_requisition:customerId,MetaData_requisition:customerName,Asset_comment,Asset_building,Asset_floor,Asset_room,Asset_rack,Asset_rackunitheight,Asset_slot,Asset_port,Asset_region,Asset_division,Asset_department,Asset_address1,Asset_address2,Asset_city,Asset_state,Asset_zip,Asset_country,Asset_modelnumber,Asset_manufacturer,Asset_vendor,Asset_vendorphone,Asset_vendorfax,Asset_userlastmodified,Asset_lastmodifieddate,Asset_dateinstalled,Asset_lease,Asset_leaseexpires,Asset_supportphone,Asset_maintcontract,Asset_maintcontractexpires,Asset_username,Asset_password,Asset_enable,Asset_autoenable,Asset_connection,Asset_operatingsystem,Asset_cpu,Asset_ram,Asset_storagectrl,Asset_hdd1,Asset_hdd2,Asset_hdd3,Asset_hdd4,Asset_hdd5,Asset_hdd6,Asset_numpowersupplies,Asset_inputpower,Asset_additionalhardware,Asset_admin,Asset_snmpcommunity
SOTNOO1_SOTN001_RACK001_SOTN001_OLT_0100,0f484445-44fd-426a-9a37-d73c609cf846,Management_Network,,,192.168.100.10,P,,,,,,,-1.393999,50.923874,,,,,InventoryObject/ViewableObject/ConfigurationItem/GenericCommunicationsElement/GenericPhysicalElement/OpticalLineTerminal,0f484445-44fd-426a-9a37-d73c609cf846,,,,NOT_ASSIGNED,,NOT_ASSIGNED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC-OUTC-01__1x8_Antiguo,b67cd66e-350f-4bf4-8a37-372e56bfb494,Default,,,254.0.0.1,N,,,,,,,-4.3435993,15.26265,,,,,InventoryObject/ViewableObject/ConfigurationItem/GenericBox/FiberSplitter,b67cd66e-350f-4bf4-8a37-372e56bfb494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC-MHN-05__DRC-FS-05,0c472e45-3f42-4ad2-af99-fc72f279023d,Default,,,254.0.0.1,N,,,,,,,-4.3442698,15.264234,,,,,InventoryObject/ViewableObject/ConfigurationItem/GenericBox/FiberSplitter,0c472e45-3f42-4ad2-af99-fc72f279023d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIA-MNH-03__MIA-FSR-01,a425d14c-6c66-4b69-a170-d0ddb3399034,Default,,,254.0.0.1,N,,,,,,,25.765083,-80.1905,,,,,InventoryObject/ViewableObject/ConfigurationItem/GenericBox/FiberSplitter,a425d14c-6c66-4b69-a170-d0ddb3399034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_0001__SO18BPK1_POLE_0001_SPL16_0001,7f76cc61-ab2e-4f99-b019-4fe05a18811b,Default,,,254.0.0.1,N,,,,,,,50.926567,-1.3718522,,,,,InventoryObject/ViewableObject/ConfigurationItem/GenericBox/FiberSplitter,7f76cc61-ab2e-4f99-b019-4fe05a18811b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_CAB_0001__SO18BPK1_CAB_0001_SPL8_0001,713e81ac-0f42-4fc8-a49d-7da9e9c5dcd7,Default,,,254.0.0.1,N,,,,,,,50.92653,-1.3718922,,,,,InventoryObject/ViewableObject/ConfigurationItem/GenericBox/FiberSplitter,713e81ac-0f42-4fc8-a49d-7da9e9c5dcd7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fac1_rack01_splitter01,7b931a10-47f0-46c2-92f6-b683aadd1306,Default,,,254.0.0.1,N,,,,,,,,,,,,,InventoryObject/ViewableObject/ConfigurationItem/GenericBox/FiberSplitter,7b931a10-47f0-46c2-92f6-b683aadd1306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC-HOU-001__DRC-ONT-01,4700485e-44b8-4887-8a56-b533bc1869d7,Default,,,254.0.0.1,N,,,,,NOT_ASSIGNED,,-4.34441,15.262486,,,,,InventoryObject/ViewableObject/ConfigurationItem/GenericCommunicationsElement/GenericPhysicalElement/OpticalNetworkTerminal,4700485e-44b8-4887-8a56-b533bc1869d7,,,,NOT_ASSIGNED,,NOT_ASSIGNED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC-HOU-02__DRC_ONT_02,5289cec6-b3e0-4888-b4d1-dacac84c898e,Default,,,254.0.0.1,N,,,,,NOT_ASSIGNED,,-4.344069,15.261728,,,,,InventoryObject/ViewableObject/ConfigurationItem/GenericCommunicationsElement/GenericPhysicalElement/OpticalNetworkTerminal,5289cec6-b3e0-4888-b4d1-dacac84c898e,,,,NOT_ASSIGNED,,NOT_ASSIGNED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC-HOU-03__DRC-ONT-03,85c07289-416f-44dd-bae5-0ad6781c7015,Default,,,254.0.0.1,N,,,,,NOT_ASSIGNED,,-4.34461,15.2650585,,,,,InventoryObject/ViewableObject/ConfigurationItem/GenericCommunicationsElement/GenericPhysicalElement/OpticalNetworkTerminal,85c07289-416f-44dd-bae5-0ad6781c7015,,,,NOT_ASSIGNED,,NOT_ASSIGNED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[PHYSICAL_PATH]_MIA-HOU-01__MIA-ONT-01,7dde9ab1-7fd9-4b8f-bc8f-d2ba4bfc17f2,Default,,,254.0.0.1,N,,,,,NOT_ASSIGNED,,25.764677,-80.18849,,,,,InventoryObject/ViewableObject/ConfigurationItem/GenericCommunicationsElement/GenericPhysicalElement/OpticalNetworkTerminal,7dde9ab1-7fd9-4b8f-bc8f-d2ba4bfc17f2,,,,NOT_ASSIGNED,,NOT_ASSIGNED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIA-HOU-02__MIA-ONT-02,87893f3a-77cd-460f-a15a-4f66b7d586f8,Default,,,254.0.0.1,N,,,,,NOT_ASSIGNED,,25.764254,-80.190605,,,,,InventoryObject/ViewableObject/ConfigurationItem/GenericCommunicationsElement/GenericPhysicalElement/OpticalNetworkTerminal,87893f3a-77cd-460f-a15a-4f66b7d586f8,,,,NOT_ASSIGNED,,NOT_ASSIGNED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPRN_100060677240__ONT_100060677240,c3b4a4f9-3dbe-4353-b4c0-fdceeb878621,Default,,,254.0.0.1,N,,,,,ALCLF174C14C478,,50.926582,-1.3719264,,,,,InventoryObject/ViewableObject/ConfigurationItem/GenericCommunicationsElement/GenericPhysicalElement/OpticalNetworkTerminal,c3b4a4f9-3dbe-4353-b4c0-fdceeb878621,,,,NOT_ASSIGNED,,NOT_ASSIGNED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPRN_100060677242__ONT_100060677242,f3da6c5f-c67a-45aa-85c9-92aad69fa437,Default,,,254.0.0.1,N,,,,,ALCLF174C14C47A,,50.92661,-1.3718122,,,,,InventoryObject/ViewableObject/ConfigurationItem/GenericCommunicationsElement/GenericPhysicalElement/OpticalNetworkTerminal,f3da6c5f-c67a-45aa-85c9-92aad69fa437,,,,NOT_ASSIGNED,,NOT_ASSIGNED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPRN_10001317283__ONT_10001317283,0fd591c9-6c51-4549-a586-c16114ed9dfc,Default,,,254.0.0.1,N,,,,,ALCLF2541FFDA3,,50.92661,-1.3718122,,,,,InventoryObject/ViewableObject/ConfigurationItem/GenericCommunicationsElement/GenericPhysicalElement/OpticalNetworkTerminal,0fd591c9-6c51-4549-a586-c16114ed9dfc,,,,NOT_ASSIGNED,,NOT_ASSIGNED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPRN_100060677241__ONT_100060677241,28af8046-1cc5-4133-a4f0-232612f85291,Default,,,254.0.0.1,N,,,,,ALCLF174C14C479,,50.92663,-1.3719116,,,,,InventoryObject/ViewableObject/ConfigurationItem/GenericCommunicationsElement/GenericPhysicalElement/OpticalNetworkTerminal,28af8046-1cc5-4133-a4f0-232612f85291,,,,NOT_ASSIGNED,,NOT_ASSIGNED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPRN_100060677243__ONT_100060677243,a21576d3-060d-42d9-a463-aeb47f3255fa,Default,,,254.0.0.1,N,,,,,ALCLF174C14C47B,,50.92657,-1.3716562,,,,,InventoryObject/ViewableObject/ConfigurationItem/GenericCommunicationsElement/GenericPhysicalElement/OpticalNetworkTerminal,a21576d3-060d-42d9-a463-aeb47f3255fa,,,,NOT_ASSIGNED,,NOT_ASSIGNED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fac1_rack01_testOnt1,b2a8aae3-7b5e-4e19-adc9-d666f872d4d7,Default,,,254.0.0.1,N,,,,,NOT_ASSIGNED,,,,,,,,InventoryObject/ViewableObject/ConfigurationItem/GenericCommunicationsElement/GenericPhysicalElement/OpticalNetworkTerminal,b2a8aae3-7b5e-4e19-adc9-d666f872d4d7,,,,NOT_ASSIGNED,,NOT_ASSIGNED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fac1_rack01_testOnt2,86e2399a-811c-4e5c-8d36-a9a69be37877,Default,,,254.0.0.1,N,,,,,NOT_ASSIGNED,,,,,,,,InventoryObject/ViewableObject/ConfigurationItem/GenericCommunicationsElement/GenericPhysicalElement/OpticalNetworkTerminal,86e2399a-811c-4e5c-8d36-a9a69be37877,,,,NOT_ASSIGNED,,NOT_ASSIGNED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1burnett__1BurnettONT,e5c69356-85ca-42a7-b2ad-cd8a26bb7943,Default,,,254.0.0.1,N,,,,,NOT_ASSIGNED,,50.92445,-1.3720435,,,,,InventoryObject/ViewableObject/ConfigurationItem/GenericCommunicationsElement/GenericPhysicalElement/OpticalNetworkTerminal,e5c69356-85ca-42a7-b2ad-cd8a26bb7943,,,,NOT_ASSIGNED,,NOT_ASSIGNED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6burnett__6BurnettONT,fc9aab02-03e0-4b58-bb94-d21256198237,Default,,,254.0.0.1,N,,,,,NOT_ASSIGNED,,50.92463,-1.3719066,,,,,InventoryObject/ViewableObject/ConfigurationItem/GenericCommunicationsElement/GenericPhysicalElement/OpticalNetworkTerminal,fc9aab02-03e0-4b58-bb94-d21256198237,,,,NOT_ASSIGNED,,NOT_ASSIGNED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building_B_Rack_B-B_ASR1002-BB-01,6c5bb217-af14-487e-8382-e3b2c0911d50,IPv4Root,,,120.10.40.7,P,,,,,NOT_ASSIGNED,,,,,,,,InventoryObject/ViewableObject/ConfigurationItem/GenericCommunicationsElement/GenericNetworkElement/MPLSRouter,6c5bb217-af14-487e-8382-e3b2c0911d50,,,,NOT_ASSIGNED,,NOT_ASSIGNED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camp_Hill_Rack1-SalisburyRadio_BT-OR_Adva_Optical_Terminal,d0419590-3bd2-4287-89c5-3a715332ad02,Default,,,254.0.0.1,N,,,,,FSP 150-GE102 Pro,,51.102833,-1.8419034,,,,,InventoryObject/ViewableObject/ConfigurationItem/GenericCommunicationsElement/GenericPhysicalElement/OpticalNetworkTerminal,d0419590-3bd2-4287-89c5-3a715332ad02,,,,NOT_ASSIGNED,,NOT_ASSIGNED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rowridge_Rack1-SouthamptonRadio_BT-OR_Adva_Optical_Terminal,a0602a63-eb46-4ef1-88ad-b7f6ba1e601c,Default,,,254.0.0.1,N,,,,,FSP 150-GE102 Pro,,50.676388,-1.368611,,,,ILR_Contactor_2,InventoryObject/ViewableObject/ConfigurationItem/GenericCommunicationsElement/GenericPhysicalElement/OpticalNetworkTerminal,a0602a63-eb46-4ef1-88ad-b7f6ba1e601c,,,85199373-939c-4da5-b093-964f055e5e7a,Southampton_Radio,dba0d805-40a9-4bb1-86d5-63b3560d6e82,ILR_Contactor_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort_Widley_Rack1-PortsmouthRadio_BT-OR_Adva_Optical_Terminal,8b3dbb97-6d2b-4207-bd55-a719a3239008,Default,,,254.0.0.1,N,,,,,FSP 150-GE102 Pro,,50.854836,-1.067246,,,,ILR_Contractor_1,InventoryObject/ViewableObject/ConfigurationItem/GenericCommunicationsElement/GenericPhysicalElement/OpticalNetworkTerminal,8b3dbb97-6d2b-4207-bd55-a719a3239008,,,a6b7943d-fbe7-417b-a8ab-d508ab82dc06,Portsmouth_Radio,b7d8c0be-3a99-4bd9-8287-6e4d98d0530b,ILR_Contractor_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crabwood_Farm_Rack1-WinchesterRadio_BT-OR_Adva_Optical_Terminal,8abc0081-2e13-4a3a-aed3-9cf2830c1681,Default,,,254.0.0.1,N,,,,,FSP 150-GE102 Pro,,51.0632,-1.3603,,,,ILR_Contractor_1,InventoryObject/ViewableObject/ConfigurationItem/GenericCommunicationsElement/GenericPhysicalElement/OpticalNetworkTerminal,8abc0081-2e13-4a3a-aed3-9cf2830c1681,,,b6df696f-b289-4087-932e-59aca0c23b08,Winchester_Radio,b7d8c0be-3a99-4bd9-8287-6e4d98d0530b,ILR_Contractor_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camp_Hill_Rack1-SalisburyRadio_DB7012,d0d1af67-6548-4aac-b9d6-cf8d2663a02b,campHill1,,,10.8.105.101,P,,,db7012-1,,NOT_ASSIGNED,,51.102833,-1.8419034,,,,,InventoryObject/ViewableObject/ConfigurationItem/GenericCommunicationsElement/GenericBroadcastElement/GenericBroadcastReceiver/DABReceiver,d0d1af67-6548-4aac-b9d6-cf8d2663a02b,,,,NOT_ASSIGNED,,NOT_ASSIGNED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rowridge_Rack1-SouthamptonRadio_DB7012,c5f4e71c-9505-4fd4-90fe-4768d5c019a9,rowridge1,,,10.7.105.101,P,,,db7012-1,,NOT_ASSIGNED,,50.676388,-1.368611,,,,ILR_Contactor_2,InventoryObject/ViewableObject/ConfigurationItem/GenericCommunicationsElement/GenericBroadcastElement/GenericBroadcastReceiver/DABReceiver,c5f4e71c-9505-4fd4-90fe-4768d5c019a9,,,85199373-939c-4da5-b093-964f055e5e7a,Southampton_Radio,dba0d805-40a9-4bb1-86d5-63b3560d6e82,ILR_Contactor_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crabwood_Farm_Rack1-WinchesterRadio_DB7012,35604581-ab47-4a31-a98d-246812f26f97,crabwoodFarm1,,,10.5.105.101,P,,,db7012-1,,NOT_ASSIGNED,,51.0632,-1.3603,,,,ILR_Contractor_1,InventoryObject/ViewableObject/ConfigurationItem/GenericCommunicationsElement/GenericBroadcastElement/GenericBroadcastReceiver/DABReceiver,35604581-ab47-4a31-a98d-246812f26f97,,,b6df696f-b289-4087-932e-59aca0c23b08,Winchester_Radio,b7d8c0be-3a99-4bd9-8287-6e4d98d0530b,ILR_Contractor_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort_Widley_Rack1-PortsmouthRadio_DB7012,785212af-716b-45d4-8d68-515465ed4977,ftwidley1,,,10.6.105.101,P,,,db7012-1,,NOT_ASSIGNED,,50.854836,-1.067246,,,,ILR_Contractor_1,InventoryObject/ViewableObject/ConfigurationItem/GenericCommunicationsElement/GenericBroadcastElement/GenericBroadcastReceiver/DABReceiver,785212af-716b-45d4-8d68-515465ed4977,,,a6b7943d-fbe7-417b-a8ab-d508ab82dc06,Portsmouth_Radio,b7d8c0be-3a99-4bd9-8287-6e4d98d0530b,ILR_Contractor_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camp_Hill_Rack1-SalisburyRadio_DB8008_Silence_Switcher,d89bdd5f-0de4-4b71-ab38-902133d0166c,campHill1,,,10.8.105.100,P,,,,,NOT_ASSIGNED,,51.102833,-1.8419034,,,,,InventoryObject/ViewableObject/ConfigurationItem/GenericCommunicationsElement/GenericBroadcastElement/GenericProgramInputEquipment/AudioSwitch,d89bdd5f-0de4-4b71-ab38-902133d0166c,,,,NOT_ASSIGNED,,NOT_ASSIGNED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rowridge_Rack1-SouthamptonRadio_DB8008_Silence_Switcher,4d13e693-0941-4233-bd52-e06f2130db83,rowridge1,,,10.7.105.100,P,,,,,NOT_ASSIGNED,,50.676388,-1.368611,,,,ILR_Contactor_2,InventoryObject/ViewableObject/ConfigurationItem/GenericCommunicationsElement/GenericBroadcastElement/GenericProgramInputEquipment/AudioSwitch,4d13e693-0941-4233-bd52-e06f2130db83,,,85199373-939c-4da5-b093-964f055e5e7a,Southampton_Radio,dba0d805-40a9-4bb1-86d5-63b3560d6e82,ILR_Contactor_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crabwood_Farm_Rack1-WinchesterRadio_DB8008_Silence_Switcher,8dd8011c-bc35-4475-a108-6d4035f41937,crabwoodFarm1,,,10.5.105.100,P,,,,,NOT_ASSIGNED,,51.0632,-1.3603,,,,ILR_Contractor_1,InventoryObject/ViewableObject/ConfigurationItem/GenericCommunicationsElement/GenericBroadcastElement/GenericProgramInputEquipment/AudioSwitch,8dd8011c-bc35-4475-a108-6d4035f41937,,,b6df696f-b289-4087-932e-59aca0c23b08,Winchester_Radio,b7d8c0be-3a99-4bd9-8287-6e4d98d0530b,ILR_Contractor_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
