Node_Label,ID_,Location,Parent_Foreign_Id,Parent_Foreign_Source,IP_Management,MgmtType_,svc_Forced,cat_,Asset_category,Asset_region,Asset_serialNumber,Asset_assetNumber,Asset_latitude,Asset_longitude,Asset_thresholdCategory,Asset_notifyCategory,Asset_pollerCategory,Asset_displayCategory,Asset_managedObjectType,Asset_managedObjectInstance,Asset_circuitId,Asset_description,MetaData_requisition:serviceId,MetaData_requisition:serviceName,MetaData_requisition:customerId,MetaData_requisition:customerName
ONT_10001304957,ONT_10001304957,Default,,,254.0.0.1,N,,ONT,,,,,50.9245025,-1.3763974,,,,,,,,,,,,
ONT_10001304958,ONT_10001304958,Default,,,254.0.0.1,N,,ONT,,,,,50.9318732,-1.3759961,,,,,,,,,,,,
ONT_10001305663,ONT_10001305663,Default,,,254.0.0.1,N,,ONT,,,,,50.9327746,-1.3713732,,,,,,,,,,,,
ONT_10001305664,ONT_10001305664,Default,,,254.0.0.1,N,,ONT,,,,,50.9327746,-1.3713732,,,,,,,,,,,,
ONT_10001305665,ONT_10001305665,Default,,,254.0.0.1,N,,ONT,,,,,50.9327746,-1.3713732,,,,,,,,,,,,
ONT_10001305666,ONT_10001305666,Default,,,254.0.0.1,N,,ONT,,,,,50.9327746,-1.3713732,,,,,,,,,,,,
ONT_10001305667,ONT_10001305667,Default,,,254.0.0.1,N,,ONT,,,,,50.9327746,-1.3713732,,,,,,,,,,,,
ONT_10001305668,ONT_10001305668,Default,,,254.0.0.1,N,,ONT,,,,,50.9327746,-1.3713732,,,,,,,,,,,,
ONT_10001305669,ONT_10001305669,Default,,,254.0.0.1,N,,ONT,,,,,50.9327746,-1.3713732,,,,,,,,,,,,
ONT_10001305721,ONT_10001305721,Default,,,254.0.0.1,N,,ONT,,,,,50.9242298,-1.3743912,,,,,,,,,,,,
ONT_10001305722,ONT_10001305722,Default,,,254.0.0.1,N,,ONT,,,,,50.9242298,-1.3743912,,,,,,,,,,,,
ONT_10001305723,ONT_10001305723,Default,,,254.0.0.1,N,,ONT,,,,,50.9242298,-1.3743912,,,,,,,,,,,,
ONT_10001305724,ONT_10001305724,Default,,,254.0.0.1,N,,ONT,,,,,50.9242298,-1.3743912,,,,,,,,,,,,
ONT_10001305914,ONT_10001305914,Default,,,254.0.0.1,N,,ONT,,,,,50.9218985,-1.3689591,,,,,,,,,,,,
ONT_10001305931,ONT_10001305931,Default,,,254.0.0.1,N,,ONT,,,,,50.9246069,-1.379309,,,,,,,,,,,,
ONT_10001306094,ONT_10001306094,Default,,,254.0.0.1,N,,ONT,,,,,50.9275194,-1.3790995,,,,,,,,,,,,
ONT_10001306294,ONT_10001306294,Default,,,254.0.0.1,N,,ONT,,,,,50.9243253,-1.3771074,,,,,,,,,,,,
ONT_10001306493,ONT_10001306493,Default,,,254.0.0.1,N,,ONT,,,,,50.9230551,-1.3800411,,,,,,,,,,,,
ONT_10001306534,ONT_10001306534,Default,,,254.0.0.1,N,,ONT,,,,,50.9221208,-1.3701655,,,,,,,,,,,,
ONT_10001306535,ONT_10001306535,Default,,,254.0.0.1,N,,ONT,,,,,50.924397,-1.3760658,,,,,,,,,,,,
ONT_10001306643,ONT_10001306643,Default,,,254.0.0.1,N,,ONT,,,,,50.9295653,-1.3782611,,,,,,,,,,,,
ONT_10001306644,ONT_10001306644,Default,,,254.0.0.1,N,,ONT,,,,,50.9288092,-1.379808,,,,,,,,,,,,
ONT_10001306723,ONT_10001306723,Default,,,254.0.0.1,N,,ONT,,,,,50.9260511,-1.3803,,,,,,,,,,,,
ONT_10001306740,ONT_10001306740,Default,,,254.0.0.1,N,,ONT,,,,,50.9317516,-1.380153,,,,,,,,,,,,
ONT_10001306795,ONT_10001306795,Default,,,254.0.0.1,N,,ONT,,,,,50.9342996,-1.3723346,,,,,,,,,,,,
ONT_10001306805,ONT_10001306805,Default,,,254.0.0.1,N,,ONT,,,,,50.9331106,-1.3736599,,,,,,,,,,,,
ONT_10001306890,ONT_10001306890,Default,,,254.0.0.1,N,,ONT,,,,,50.9296748,-1.3768793,,,,,,,,,,,,
ONT_10001307132,ONT_10001307132,Default,,,254.0.0.1,N,,ONT,,,,,50.9233236,-1.3797957,,,,,,,,,,,,
ONT_10001307135,ONT_10001307135,Default,,,254.0.0.1,N,,ONT,,,,,50.9231743,-1.3787875,,,,,,,,,,,,
ONT_10001307136,ONT_10001307136,Default,,,254.0.0.1,N,,ONT,,,,,50.9230697,-1.3794149,,,,,,,,,,,,
ONT_10001307139,ONT_10001307139,Default,,,254.0.0.1,N,,ONT,,,,,50.92299,-1.3796294,,,,,,,,,,,,
ONT_10001307140,ONT_10001307140,Default,,,254.0.0.1,N,,ONT,,,,,50.9229628,-1.3796013,,,,,,,,,,,,
ONT_10001307141,ONT_10001307141,Default,,,254.0.0.1,N,,ONT,,,,,50.9229877,-1.3792168,,,,,,,,,,,,
ONT_10001307142,ONT_10001307142,Default,,,254.0.0.1,N,,ONT,,,,,50.9229975,-1.3793589,,,,,,,,,,,,
ONT_10001307318,ONT_10001307318,Default,,,254.0.0.1,N,,ONT,,,,,50.9228663,-1.3800578,,,,,,,,,,,,
ONT_10001308025,ONT_10001308025,Default,,,254.0.0.1,N,,ONT,,,,,50.9222008,-1.3716583,,,,,,,,,,,,
ONT_10001308026,ONT_10001308026,Default,,,254.0.0.1,N,,ONT,,,,,50.9222008,-1.3716583,,,,,,,,,,,,
ONT_10001308027,ONT_10001308027,Default,,,254.0.0.1,N,,ONT,,,,,50.9222008,-1.3716583,,,,,,,,,,,,
ONT_10001308028,ONT_10001308028,Default,,,254.0.0.1,N,,ONT,,,,,50.9222008,-1.3716583,,,,,,,,,,,,
ONT_10001308029,ONT_10001308029,Default,,,254.0.0.1,N,,ONT,,,,,50.9222008,-1.3716583,,,,,,,,,,,,
ONT_10001308030,ONT_10001308030,Default,,,254.0.0.1,N,,ONT,,,,,50.9222008,-1.3716583,,,,,,,,,,,,
ONT_10001308031,ONT_10001308031,Default,,,254.0.0.1,N,,ONT,,,,,50.9222008,-1.3716583,,,,,,,,,,,,
ONT_10001308032,ONT_10001308032,Default,,,254.0.0.1,N,,ONT,,,,,50.9222008,-1.3716583,,,,,,,,,,,,
