Node_Label,ID_,Location,Parent_Foreign_Id,Parent_Foreign_Source,IP_Management,MgmtType_,svc_Forced,cat_,Asset_category,Asset_region,Asset_serialNumber,Asset_assetNumber,Asset_latitude,Asset_longitude,Asset_thresholdCategory,Asset_notifyCategory,Asset_pollerCategory,Asset_displayCategory,Asset_managedObjectType,Asset_managedObjectInstance,Asset_circuitId,Asset_description,MetaData_requisition:serviceId,MetaData_requisition:serviceName,MetaData_requisition:customerId,MetaData_requisition:customerName,Asset_comment,Asset_building,Asset_floor,Asset_room,Asset_rack,Asset_rackunitheight,Asset_slot,Asset_port,Asset_region,Asset_division,Asset_department,Asset_address1,Asset_address2,Asset_city,Asset_state,Asset_zip,Asset_country,Asset_modelnumber,Asset_serialNumber,Asset_manufacturer,Asset_vendor,Asset_vendorphone,Asset_vendorfax,Asset_userlastmodified,Asset_lastmodifieddate,Asset_dateinstalled,Asset_lease,Asset_leaseexpires,Asset_supportphone,Asset_maintcontract,Asset_maintcontractexpires,Asset_username,Asset_password,Asset_enable,Asset_autoenable,Asset_connection,Asset_operatingsystem,Asset_cpu,Asset_ram,Asset_storagectrl,Asset_hdd1,Asset_hdd2,Asset_hdd3,Asset_hdd4,Asset_hdd5,Asset_hdd6,Asset_numpowersupplies,Asset_inputpower,Asset_additionalhardware,Asset_admin,Asset_snmpcommunity
SOTN001_LTE_100,SOTN001_LTE_100,Default,,,,N,,OLT,,SOTN001,,,'-1.37625760,'50.91785810,,,,,,,,SOTN001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOTN001_LTE_101,SOTN001_LTE_101,Default,,,,N,,OLT,,SOTN001,,,'-1.37625760,'50.91785810,,,,,,,,SOTN001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOTN001_LTE_102,SOTN001_LTE_102,Default,,,,N,,OLT,,SOTN001,,,'-1.37625760,'50.91785810,,,,,,,,SOTN001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOTN001_LTE_103,SOTN001_LTE_103,Default,,,,N,,OLT,,SOTN001,,,'-1.37625760,'50.91785810,,,,,,,,SOTN001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOTN001_LTE_104,SOTN001_LTE_104,Default,,,,N,,OLT,,SOTN001,,,'-1.37625760,'50.91785810,,,,,,,,SOTN001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOTN001_LTE_105,SOTN001_LTE_105,Default,,,,N,,OLT,,SOTN001,,,'-1.37625760,'50.91785810,,,,,,,,SOTN001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_CAB_0_SPL8_0,SO18BPK1_CAB_0_SPL8_0,Default,SOTN001_LTE_100,temp2,,N,,PRIMARY_SPLITTER,,SOTN001,,,'50.92414430,'-1.37690220,,,,,,,,SO18BPK1_CAB_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_CAB_1_SPL8_0,SO18BPK1_CAB_1_SPL8_0,Default,SOTN001_LTE_101,temp2,,N,,PRIMARY_SPLITTER,,SOTN001,,,'50.92690880,'-1.37091750,,,,,,,,SO18BPK1_CAB_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_CAB_2_SPL8_1,SO18BPK1_CAB_2_SPL8_1,Default,SOTN001_LTE_102,temp2,,N,,PRIMARY_SPLITTER,,SOTN001,,,'50.93240300,'-1.37252250,,,,,,,,SO18BPK1_CAB_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_CAB_3_SPL8_1,SO18BPK1_CAB_3_SPL8_1,Default,SOTN001_LTE_103,temp2,,N,,PRIMARY_SPLITTER,,SOTN001,,,'50.92669720,'-1.37504680,,,,,,,,SO18BPK1_CAB_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_CAB_4_SPL8_2,SO18BPK1_CAB_4_SPL8_2,Default,SOTN001_LTE_104,temp2,,N,,PRIMARY_SPLITTER,,SOTN001,,,'50.92780410,'-1.37854650,,,,,,,,SO18BPK1_CAB_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_CAB_5_SPL8_2,SO18BPK1_CAB_5_SPL8_2,Default,SOTN001_LTE_105,temp2,,N,,PRIMARY_SPLITTER,,SOTN001,,,'50.92267460,'-1.37115970,,,,,,,,SO18BPK1_CAB_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_0_SPL16_0,SO18BPK1_POLE_0_SPL16_0,Default,SO18BPK1_CAB_0_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92751940,'-1.37910950,,,,,,,,SO18BPK1_POLE_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_0_SPL16_1,SO18BPK1_POLE_0_SPL16_1,Default,SO18BPK1_CAB_0_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92296280,'-1.37961130,,,,,,,,SO18BPK1_POLE_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_1_SPL16_0,SO18BPK1_POLE_1_SPL16_0,Default,SO18BPK1_CAB_0_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92428160,'-1.37568100,,,,,,,,SO18BPK1_POLE_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_1_SPL16_1,SO18BPK1_POLE_1_SPL16_1,Default,SO18BPK1_CAB_0_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92473490,'-1.37970150,,,,,,,,SO18BPK1_POLE_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_2_SPL16_0,SO18BPK1_POLE_2_SPL16_0,Default,SO18BPK1_CAB_0_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92463830,'-1.38014390,,,,,,,,SO18BPK1_POLE_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_2_SPL16_1,SO18BPK1_POLE_2_SPL16_1,Default,SO18BPK1_CAB_0_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92367310,'-1.37622980,,,,,,,,SO18BPK1_POLE_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_3_SPL16_0,SO18BPK1_POLE_3_SPL16_0,Default,SO18BPK1_CAB_0_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92251940,'-1.37406840,,,,,,,,SO18BPK1_POLE_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_3_SPL16_1,SO18BPK1_POLE_3_SPL16_1,Default,SO18BPK1_CAB_0_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92251940,'-1.37406840,,,,,,,,SO18BPK1_POLE_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_4_SPL16_0,SO18BPK1_POLE_4_SPL16_0,Default,SO18BPK1_CAB_0_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92537200,'-1.36940580,,,,,,,,SO18BPK1_POLE_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_4_SPL16_1,SO18BPK1_POLE_4_SPL16_1,Default,SO18BPK1_CAB_0_SPL8_0,temp2,,N,,SECONDARY_SPLITTER,,SOTN001,,,'50.92302190,'-1.37386250,,,,,,,,SO18BPK1_POLE_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
