Asset_latitude,Asset_longitude,UPRN
50.9245025,-1.3763974,'10001304957
50.9318732,-1.3759961,'10001304958
50.9327746,-1.3713732,'10001305663
50.9327746,-1.3713732,'10001305664
50.9327746,-1.3713732,'10001305665
50.9327746,-1.3713732,'10001305666
50.9327746,-1.3713732,'10001305667
50.9327746,-1.3713732,'10001305668
50.9327746,-1.3713732,'10001305669
50.9242298,-1.3743912,'10001305721
50.9242298,-1.3743912,'10001305722
50.9242298,-1.3743912,'10001305723
50.9242298,-1.3743912,'10001305724
50.9218985,-1.3689591,'10001305914
50.9246069,-1.379309,'10001305931
50.9275194,-1.3790995,'10001306094
50.9243253,-1.3771074,'10001306294
50.9230551,-1.3800411,'10001306493
50.9221208,-1.3701655,'10001306534
50.924397,-1.3760658,'10001306535
50.9295653,-1.3782611,'10001306643
50.9288092,-1.379808,'10001306644
50.9260511,-1.3803,'10001306723
50.9317516,-1.380153,'10001306740
50.9342996,-1.3723346,'10001306795
50.9331106,-1.3736599,'10001306805
50.9296748,-1.3768793,'10001306890
50.9233236,-1.3797957,'10001307132
50.9231743,-1.3787875,'10001307135
50.9230697,-1.3794149,'10001307136
50.92299,-1.3796294,'10001307139
50.9229628,-1.3796013,'10001307140
50.9229877,-1.3792168,'10001307141
50.9229975,-1.3793589,'10001307142
50.9228663,-1.3800578,'10001307318
50.9222008,-1.3716583,'10001308025
50.9222008,-1.3716583,'10001308026
50.9222008,-1.3716583,'10001308027
50.9222008,-1.3716583,'10001308028
50.9222008,-1.3716583,'10001308029
50.9222008,-1.3716583,'10001308030
50.9222008,-1.3716583,'10001308031
50.9222008,-1.3716583,'10001308032
50.9222008,-1.3716583,'10001308033
50.9222008,-1.3716583,'10001308034
50.9222008,-1.3716583,'10001308035
50.9242816,-1.375671,'10001311650
50.9242816,-1.375671,'10001311651
50.9249059,-1.3797177,'10001312050
50.9249059,-1.3797177,'10001312051
50.9249059,-1.3797177,'10001312052
50.9249059,-1.3797177,'10001312053
50.9249059,-1.3797177,'10001312054
50.9249059,-1.3797177,'10001312055
50.9249059,-1.3797177,'10001312056
50.9249059,-1.3797177,'10001312057
50.9249059,-1.3797177,'10001312058
50.9249059,-1.3797177,'10001312059
50.9247349,-1.3796915,'10001312060
50.9247349,-1.3796915,'10001312061
50.9247349,-1.3796915,'10001312062
50.9247349,-1.3796915,'10001312063
50.9247349,-1.3796915,'10001312064
50.9247349,-1.3796915,'10001312065
50.9247349,-1.3796915,'10001312066
50.9247349,-1.3796915,'10001312067
50.9247349,-1.3796915,'10001312068
50.9246094,-1.3797785,'10001312069
50.9246094,-1.3797785,'10001312070
50.9246094,-1.3797785,'10001312071
50.9246094,-1.3797785,'10001312072
50.9246094,-1.3797785,'10001312073
50.9246094,-1.3797785,'10001312074
50.9246094,-1.3797785,'10001312075
50.9246094,-1.3797785,'10001312076
50.9246383,-1.3801339,'10001312077
50.9246383,-1.3801339,'10001312078
50.9246383,-1.3801339,'10001312079
50.9246383,-1.3801339,'10001312080
50.9246383,-1.3801339,'10001312081
50.9246383,-1.3801339,'10001312082
50.9246383,-1.3801339,'10001312083
50.9246383,-1.3801339,'10001312084
50.9246383,-1.3801339,'10001312085
50.9246383,-1.3801339,'10001312086
50.923116,-1.3763126,'10001312155
50.9228012,-1.3762884,'10001312160
50.922605,-1.376604,'10001312161
50.9230923,-1.3769105,'10001312162
50.923157,-1.3772369,'10001312163
50.923247,-1.3772499,'10001312167
50.923301,-1.3772634,'10001312168
50.9234331,-1.3767352,'10001312633
50.923722,-1.3769448,'10001312634
50.9237412,-1.3771722,'10001312635
50.9236731,-1.3762198,'10001312636
50.9234753,-1.3762225,'10001312637
50.9225194,-1.3740584,'10001316555
50.9225194,-1.3740584,'10001316556
50.9225194,-1.3740584,'10001316557
50.9225194,-1.3740584,'10001316558
50.9225194,-1.3740584,'10001316559
50.9225194,-1.3740584,'10001316560
50.9225194,-1.3740584,'10001316561
50.9225194,-1.3740584,'10001316562
50.9225194,-1.3740584,'10001316563
50.9225194,-1.3740584,'10001316564
50.9225194,-1.3740584,'10001316565
50.9225194,-1.3740584,'10001316566
50.9225194,-1.3740584,'10001316567
50.9225194,-1.3740584,'10001316569
50.9225194,-1.3740584,'10001316570
50.9225194,-1.3740584,'10001316571
50.9225194,-1.3740584,'10001316572
50.9225194,-1.3740584,'10001316573
50.9225194,-1.3740584,'10001316574
50.9225194,-1.3740584,'10001316575
50.9225194,-1.3740584,'10001316576
50.9225194,-1.3740584,'10001316577
50.9225194,-1.3740584,'10001316578
50.9225194,-1.3740584,'10001316579
50.9225194,-1.3740584,'10001316580
50.9225194,-1.3740584,'10001316581
50.9225194,-1.3740584,'10001316582
50.9225194,-1.3740584,'10001316583
50.9225194,-1.3740584,'10001316584
50.9225194,-1.3740584,'10001316585
50.9225194,-1.3740584,'10001316586
50.9225194,-1.3740584,'10001316587
50.9225194,-1.3740584,'10001316588
50.9225194,-1.3740584,'10001316589
50.9225194,-1.3740584,'10001316590
50.9225194,-1.3740584,'10001316591
50.9214691,-1.3727209,'10001317113
50.9214691,-1.3727209,'10001317114
50.9214691,-1.3727209,'10001317115
50.9214691,-1.3727209,'10001317116
50.9214691,-1.3727209,'10001317117
50.9214691,-1.3727209,'10001317118
50.9214691,-1.3727209,'10001317119
50.9214691,-1.3727209,'10001317120
50.9214691,-1.3727209,'10001317121
50.9214691,-1.3727209,'10001317122
50.925372,-1.3693958,'10001317215
50.925372,-1.3693958,'10001317216
50.925372,-1.3693958,'10001317217
50.925372,-1.3693958,'10001317218
50.925372,-1.3693958,'10001317219
50.925372,-1.3693958,'10001317220
50.925372,-1.3693958,'10001317221
50.925372,-1.3693958,'10001317222
50.925372,-1.3693958,'10001317223
50.925372,-1.3693958,'10001317224
50.925372,-1.3693958,'10001317225
50.925372,-1.3693958,'10001317226
50.925372,-1.3693958,'10001317227
50.925372,-1.3693958,'10001317228
50.925372,-1.3693958,'10001317229
50.926608,-1.3718122,'10001317283
50.9230219,-1.3738525,'10001317312
50.9230219,-1.3738525,'10001317313
50.9230219,-1.3738525,'10001317314
50.9230219,-1.3738525,'10001317315
50.9230219,-1.3738525,'10001317316
50.9230219,-1.3738525,'10001317317
50.9234952,-1.3715697,'10001317319
50.923567,-1.3715403,'10001317320
50.92363,-1.3715394,'10001317321
50.923702,-1.3715527,'10001317322
50.9234116,-1.3740216,'10001317366
50.9308432,-1.3737322,'10001317499
50.9249666,-1.3759464,'10001317863
50.9249666,-1.3759464,'10001317864
50.9274356,-1.3752018,'10001317981
50.9274356,-1.3752018,'10001317982
50.9250295,-1.3742808,'10001318018
50.9287148,-1.3773048,'10001318116
50.9288731,-1.3749691,'10001318154
50.9220386,-1.37258,'10001318337
50.9220402,-1.37258,'10001318338
50.9220402,-1.37258,'10001318339
50.9220386,-1.37258,'10001318340
50.9220386,-1.3725776,'10001318341
50.9220401,-1.3725775,'10001318342
50.9220386,-1.37258,'10001318343
50.9220401,-1.3725775,'10001318344
50.9238514,-1.3725893,'10001318360
50.9238514,-1.3725893,'10001318361
50.9238514,-1.3725893,'10001318362
50.9233198,-1.3740761,'10001318803
50.9265816,-1.3719264,'100060677240
50.9266265,-1.3719116,'100060677241
50.926608,-1.3718122,'100060677242
50.9265712,-1.3716562,'100060677243
50.926571,-1.3716135,'100060677244
50.9265703,-1.3714997,'100060677245
50.9265701,-1.371457,'100060677246
50.9265784,-1.3713288,'100060677247
50.9265784,-1.3713288,'100060677248
50.9265782,-1.3712862,'100060677249
50.9265322,-1.3711018,'100060677250
50.9262094,-1.3712627,'100060677251
50.9262098,-1.3713338,'100060677252
50.9262193,-1.3714333,'100060677253
50.9262197,-1.3715044,'100060677254
50.9262204,-1.3716467,'100060677255
50.9262208,-1.3717179,'100060677256
50.9262038,-1.3719031,'100060677257
50.9262222,-1.371974,'100060677258
50.9263035,-1.372044,'100060677259
50.9262949,-1.3721153,'100060677260
50.9264318,-1.3724976,'100060677261
50.9264318,-1.3724976,'100060677262
50.9264318,-1.3724976,'100060677263
50.9264318,-1.3724976,'100060677264
50.9267506,-1.3749264,'100060677900
50.926841,-1.3750106,'100060677901
50.9268859,-1.3749958,'100060677902
50.9269577,-1.3749663,'100060677903
50.9269933,-1.3748947,'100060677904
50.9270743,-1.3749221,'100060677905
50.927137,-1.3748643,'100060677906
50.9271818,-1.3748353,'100060677907
50.9272624,-1.3747773,'100060677908
50.9273369,-1.3752458,'100060677909
50.9273073,-1.3747624,'100060677910
50.9273907,-1.3752167,'100060677911
50.9274418,-1.3746895,'100060677912
50.9274418,-1.3746895,'100060677913
50.9274418,-1.3746895,'100060677914
50.9274418,-1.3746895,'100060677915
50.9274445,-1.3752017,'100060677916
50.9275333,-1.3746693,'100060677917
50.9274804,-1.3751728,'100060677918
50.927522,-1.3745604,'100060677919
50.9275704,-1.3752,'100060677920
50.9275704,-1.3752,'100060677921
50.9276028,-1.3745308,'100060677922
50.9276297,-1.3745162,'100060677923
50.9276869,-1.3751273,'100060677924
50.9277013,-1.3744441,'100060677925
50.9277049,-1.3751128,'100060677926
50.9277372,-1.3744436,'100060677927
50.9277855,-1.3750548,'100060677928
50.9278214,-1.3750401,'100060677929
50.927845,-1.3744137,'100060677930
50.9279021,-1.3750106,'100060677931
50.9279257,-1.3743699,'100060677932
50.927929,-1.374996,'100060677933
50.9279616,-1.3743552,'100060677934
50.9280097,-1.3749522,'100060677935
50.9280425,-1.3743541,'100060677936
50.9280456,-1.3749375,'100060677937
50.9280694,-1.3743396,'100060677938
50.9281264,-1.374908,'100060677939
50.928141,-1.3742817,'100060677940
50.9281442,-1.374865,'100060677941
50.9281679,-1.3742671,'100060677942
50.9282249,-1.3748355,'100060677943
50.9282395,-1.374195,'100060677944
50.9282518,-1.3748067,'100060677945
50.9282518,-1.3748067,'100060677946
50.9282848,-1.3742655,'100060677947
50.9283242,-1.3747606,'100060677948
50.9283478,-1.3742647,'100060677949
50.9283836,-1.3742357,'100060677950
50.9287806,-1.3744865,'100060677951
50.9284464,-1.3742064,'100060677952
50.928482,-1.374149,'100060677953
50.9286435,-1.3740757,'100060677954
50.9286435,-1.3740757,'100060677955
50.928978,-1.3744127,'100060677956
50.9286884,-1.3740609,'100060677957
50.9290855,-1.3743757,'100060677958
50.9291752,-1.374282,'100060677959
50.9287601,-1.3740172,'100060677960
50.9292557,-1.3742098,'100060677961
50.9288228,-1.3739737,'100060677962
50.9293096,-1.3741948,'100060677963
50.9289125,-1.3739298,'100060677964
50.9293815,-1.3741796,'100060677965
50.9290023,-1.3739001,'100060677966
50.9294532,-1.374136,'100060677967
50.9290736,-1.3737853,'100060677968
50.9290736,-1.3737853,'100060677969
50.9295339,-1.3741064,'100060677970
50.9296146,-1.3740627,'100060677971
50.9291545,-1.3737842,'100060677972
50.9297224,-1.3740327,'100060677973
50.9292443,-1.3737546,'100060677974
50.929803,-1.3739747,'100060677975
50.9293161,-1.3737394,'100060677976
50.9298657,-1.3739312,'100060677977
50.9293697,-1.3736675,'100060677978
50.9299554,-1.3738873,'100060677979
50.9294327,-1.3736809,'100060677980
50.9300449,-1.3738007,'100060677981
50.9294775,-1.3736376,'100060677982
50.9301343,-1.3736999,'100060677983
50.9295312,-1.3735942,'100060677984
50.9302058,-1.3736278,'100060677985
50.929585,-1.373565,'100060677986
50.9302773,-1.3735415,'100060677987
50.9296479,-1.3735499,'100060677988
50.9302947,-1.3734274,'100060677989
50.9297106,-1.3735064,'100060677990
50.9303304,-1.3733842,'100060677991
50.9297822,-1.3734485,'100060677992
50.9303749,-1.3732982,'100060677993
50.929836,-1.3734193,'100060677994
50.9303926,-1.3732411,'100060677995
50.9303926,-1.3732411,'100060677996
50.92989,-1.3734328,'100060677997
50.9304372,-1.3731693,'100060677998
50.9299436,-1.373361,'100060677999
50.9304729,-1.3731262,'100060678000
50.9299704,-1.3733179,'100060678001
50.9300241,-1.3732745,'100060678002
50.9300418,-1.3732173,'100060678003
50.9300863,-1.3731314,'100060678004
50.9301311,-1.3731165,'100060678005
50.9301665,-1.3730022,'100060678006
50.9301932,-1.3729449,'100060678007
50.9302198,-1.3728876,'100060678008
50.9302643,-1.3727874,'100060678009
50.9302819,-1.3727303,'100060678010
50.9211136,-1.368486,'100060680556
50.9215725,-1.368551,'100060680557
50.9215729,-1.3686221,'100060680558
50.9249825,-1.3738973,'100060682721
50.9249821,-1.3738261,'100060682722
50.9249901,-1.3736411,'100060682723
50.9250077,-1.3735555,'100060682724
50.9252629,-1.374019,'100060682725
50.9252659,-1.3740237,'100060682726
50.9250427,-1.3733842,'100060682727
50.9252795,-1.373936,'100060682728
50.9250515,-1.3733414,'100060682729
50.9253416,-1.3737786,'100060682730
50.9253413,-1.3737217,'100060682731
50.925122,-1.3730702,'100060682732
50.9253766,-1.3736074,'100060682733
50.9251306,-1.3729989,'100060682734
50.9253763,-1.3735505,'100060682735
50.9251659,-1.3728704,'100060682736
